dataset,method,experiment,rank,expr,complexity,cv_metric,seed
UCI_CTG_NSPbin,lgo,base,44,"sqrt(sqrt(pow(sqrt(id(idF(NSP))), mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))))))",25.0,0.0,3
UCI_CTG_NSPbin,lgo,base,45,"sqrt(add(pow(id(NSP), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), sqrt(one)), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(log(add(one, zero)))))), sqrt(zero)))",29.0,0.0,3
UCI_CTG_NSPbin,lgo,base,46,"sqrt(add(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), -0.4070146956138785)), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(log(add(one, zero)))))), sqrt(zero)))",30.5,0.0,3
UCI_CTG_NSPbin,lgo,base,47,"sqrt(add(pow(id(idF(idF(NSP))), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(log(add(one, zero)))))), sqrt(zero)))",32.0,0.0,3
UCI_CTG_NSPbin,lgo,base,48,"sqrt(add(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(VarHist))))))), sqrt(zero)))",35.0,0.0,3
UCI_CTG_NSPbin,lgo,base,49,"sqrt(add(pow(id(NSP), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), -0.2776705794457662)), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(VarHist))))))), sqrt(log(-0.3264673687280014))))",35.0,0.0,3
UCI_CTG_NSPbin,lgo,base,50,"sqrt(add(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), -0.2776705794457662)), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(VarHist))))))), sqrt(log(-0.3264673687280014))))",35.0,0.0,3
UCI_CTG_NSPbin,lgo,base,51,"sqrt(sqrt(sqrt(div(sqrt(id(idF(idF(idF(NSP))))), sqrt(id(idF(idF(idF(NSP)))))))))",9.0,0.0,34
UCI_CTG_NSPbin,lgo,base,52,"sqrt(sqrt(sqrt(div(sqrt(id(idF(idF(idF(NSP))))), sqrt(id(NSP))))))",9.0,0.0,34
UCI_CTG_NSPbin,lgo,base,53,"sqrt(sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(idF(idF(NSP))))))))",9.0,0.0,34
UCI_CTG_NSPbin,lgo,base,54,"sqrt(sqrt(sqrt(div(sqrt(id(idF(idF(idF(idF(NSP)))))), sqrt(id(idF(NSP)))))))",9.0,0.0,34
