dataset,task,method,experiment,seed,split,check,status,value,threshold,notes
UCI_HydraulicSys_fault_score,regression,pysr,base,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,34,0,metrics_guard_RMSE_ge_MAE,OK,0.019855099355722813,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,34,0,metrics_guard_RMSE_ge_MAE,OK,0.017735386591480752,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,55,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,55,0,metrics_guard_RMSE_ge_MAE,OK,0.019662242857768186,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,55,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,55,0,metrics_guard_RMSE_ge_MAE,OK,0.025008055459845885,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,55,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,55,0,metrics_guard_RMSE_ge_MAE,OK,0.014273153046589451,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,55,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,55,0,metrics_guard_RMSE_ge_MAE,OK,0.013337289731253359,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,55,0,anomaly_scan_raw_pred,WARN,,,"nan=False, inf=False, const=True, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,55,0,metrics_guard_RMSE_ge_MAE,OK,0.03406961603569508,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,89,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,89,0,metrics_guard_RMSE_ge_MAE,OK,0.0183036986038225,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,89,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,89,0,metrics_guard_RMSE_ge_MAE,OK,0.026477461411909875,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,89,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,89,0,metrics_guard_RMSE_ge_MAE,OK,0.01805212125865646,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,89,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,89,0,metrics_guard_RMSE_ge_MAE,OK,0.020837118166201582,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,89,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,89,0,metrics_guard_RMSE_ge_MAE,OK,0.025337691205682508,>= 0,
UCI_HydraulicSys_fault_score,regression,pstree,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pstree,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.027527898237530476,>= 0,
UCI_HydraulicSys_fault_score,regression,pstree,base,1,0,native_vs_computed_RMSE,OK,0.0,<= 0.01,"native=0.115551, computed=0.115551"
UCI_HydraulicSys_fault_score,regression,pstree,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pstree,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.021159840697636753,>= 0,
UCI_HydraulicSys_fault_score,regression,pstree,base,2,0,native_vs_computed_RMSE,OK,0.0,<= 0.01,"native=0.111870, computed=0.111870"
UCI_HydraulicSys_fault_score,regression,pstree,base,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pstree,base,3,0,metrics_guard_RMSE_ge_MAE,OK,0.028930500899109507,>= 0,
UCI_HydraulicSys_fault_score,regression,pstree,base,3,0,native_vs_computed_RMSE,OK,0.0,<= 0.01,"native=0.143577, computed=0.143577"
UCI_HydraulicSys_fault_score,regression,pstree,base,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pstree,base,5,0,metrics_guard_RMSE_ge_MAE,OK,0.02330098638374742,>= 0,
UCI_HydraulicSys_fault_score,regression,pstree,base,5,0,native_vs_computed_RMSE,OK,0.00562384288048863,<= 0.01,"native=0.127150, computed=0.121526"
UCI_HydraulicSys_fault_score,regression,pstree,base,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pstree,base,8,0,metrics_guard_RMSE_ge_MAE,OK,0.03242504766531751,>= 0,
UCI_HydraulicSys_fault_score,regression,pstree,base,8,0,native_vs_computed_RMSE,INFO,0.014298736220049513,<= 0.01,"native=0.123616, computed=0.109317"
UCI_HydraulicSys_fault_score,regression,pstree,base,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pstree,base,13,0,metrics_guard_RMSE_ge_MAE,OK,0.020493655870817043,>= 0,
UCI_HydraulicSys_fault_score,regression,pstree,base,13,0,native_vs_computed_RMSE,OK,0.008163738743277388,<= 0.01,"native=0.100812, computed=0.092649"
UCI_HydraulicSys_fault_score,regression,pstree,base,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
