bin,bin_lower,bin_upper,bin_center,predicted_prob,actual_prob,count,gap,dataset,method,experiment,seed,calibrator
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,13,none
7,0.7000000000000001,0.8,0.75,0.7310588378465485,1.0,94,0.26894116215345154,UCI_CTG_NSPbin,operon,base,13,none
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,13,none
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,operon,base,13,none
0,0.0,0.1,0.05,0.0,0.0,332,0.0,UCI_CTG_NSPbin,operon,base,13,isotonic_cv3
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,operon,base,13,isotonic_cv3
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,operon,base,13,isotonic_cv3
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,operon,base,13,isotonic_cv3
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,operon,base,13,isotonic_cv3
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,operon,base,13,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,13,isotonic_cv3
7,0.7000000000000001,0.8,0.75,,,0,,UCI_CTG_NSPbin,operon,base,13,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,13,isotonic_cv3
9,0.9,1.0,0.95,1.0,1.0,94,0.0,UCI_CTG_NSPbin,operon,base,13,isotonic_cv3
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,pstree,base,1,none
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,pstree,base,1,none
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,pstree,base,1,none
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,pstree,base,1,none
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,pstree,base,1,none
5,0.5,0.6000000000000001,0.55,0.5,0.11016949152542373,236,0.3898305084745763,UCI_CTG_NSPbin,pstree,base,1,none
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,pstree,base,1,none
7,0.7000000000000001,0.8,0.75,0.7310585786300049,0.0,11,0.7310585786300049,UCI_CTG_NSPbin,pstree,base,1,none
8,0.8,0.9,0.8500000000000001,0.8807970779778824,0.0,10,0.8807970779778824,UCI_CTG_NSPbin,pstree,base,1,none
9,0.9,1.0,0.95,0.9967118783650991,0.40236686390532544,169,0.5943450144597737,UCI_CTG_NSPbin,pstree,base,1,none
0,0.0,0.1,0.05,0.0931404125993096,0.11290322580645161,186,0.019762813207142016,UCI_CTG_NSPbin,pstree,base,1,isotonic_cv3
1,0.1,0.2,0.15000000000000002,0.11375348910910399,0.11382113821138211,123,6.764910227811949e-05,UCI_CTG_NSPbin,pstree,base,1,isotonic_cv3
2,0.2,0.30000000000000004,0.25,0.2782010582010582,0.2222222222222222,27,0.05597883597883602,UCI_CTG_NSPbin,pstree,base,1,isotonic_cv3
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,pstree,base,1,isotonic_cv3
4,0.4,0.5,0.45,0.44494047619047616,0.55,20,0.10505952380952388,UCI_CTG_NSPbin,pstree,base,1,isotonic_cv3
5,0.5,0.6000000000000001,0.55,0.5942857142857143,0.8,5,0.20571428571428574,UCI_CTG_NSPbin,pstree,base,1,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.6357402860031778,0.6,50,0.0357402860031778,UCI_CTG_NSPbin,pstree,base,1,isotonic_cv3
7,0.7000000000000001,0.8,0.75,0.702702702702703,0.5333333333333333,15,0.16936936936936964,UCI_CTG_NSPbin,pstree,base,1,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,pstree,base,1,isotonic_cv3
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,pstree,base,1,isotonic_cv3
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,lgo_lgo,soft,3,none
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,lgo_lgo,soft,3,none
