dataset,method,experiment,seed,calibrator,ECE,n_samples
UCI_CTG_NSPbin,rils_rols,base,21,isotonic_cv3,0.007048135558454982,426
UCI_CTG_NSPbin,pstree,base,89,none,0.4870686220219472,426
UCI_CTG_NSPbin,pstree,base,89,isotonic_cv3,0.05956292252085223,426
UCI_CTG_NSPbin,pysr,base,21,none,0.4490152193911442,426
UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,rils_rols,base,3,none,0.4997464032043767,426
UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3,2.7755575615628914e-17,426
UCI_CTG_NSPbin,pysr,base,2,none,0.4490152433515566,426
UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,lgo,base,21,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo,base,21,isotonic_cv3,0.0,426
